VGS,VDS,ID
-4.4990000000E+01,-5.0000000000E+01,-3.8637619141E+01
-4.4960478986E+01,-5.0000000000E+01,-3.8553089457E+01
-4.4930957972E+01,-5.0000000000E+01,-3.8468671806E+01
-4.4901436958E+01,-5.0000000000E+01,-3.8384366145E+01
-4.4871915944E+01,-5.0000000000E+01,-3.8300172430E+01
-4.4842394930E+01,-5.0000000000E+01,-3.8216090618E+01
-4.4812873916E+01,-5.0000000000E+01,-3.8132120664E+01
-4.4783352902E+01,-5.0000000000E+01,-3.8048262525E+01
-4.4753831888E+01,-5.0000000000E+01,-3.7964516157E+01
-4.4724310874E+01,-5.0000000000E+01,-3.7880881516E+01
-4.4694789860E+01,-5.0000000000E+01,-3.7797358559E+01
-4.4665268846E+01,-5.0000000000E+01,-3.7713947242E+01
-4.4635747832E+01,-5.0000000000E+01,-3.7630647519E+01
-4.4606226818E+01,-5.0000000000E+01,-3.7547459348E+01
-4.4576705804E+01,-5.0000000000E+01,-3.7464382685E+01
-4.4547184790E+01,-5.0000000000E+01,-3.7381417484E+01
-4.4517663776E+01,-5.0000000000E+01,-3.7298563703E+01
-4.4488142762E+01,-5.0000000000E+01,-3.7215821296E+01
-4.4458621748E+01,-5.0000000000E+01,-3.7133190219E+01
-4.4429100734E+01,-5.0000000000E+01,-3.7050670427E+01
-4.4399579720E+01,-5.0000000000E+01,-3.6968261877E+01
-4.4370058706E+01,-5.0000000000E+01,-3.6885964524E+01
-4.4340537692E+01,-5.0000000000E+01,-3.6803778324E+01
-4.4311016678E+01,-5.0000000000E+01,-3.6721703230E+01
-4.4281495664E+01,-5.0000000000E+01,-3.6639739200E+01
-4.4251974650E+01,-5.0000000000E+01,-3.6557886188E+01
-4.4222453636E+01,-5.0000000000E+01,-3.6476144149E+01
-4.4192932622E+01,-5.0000000000E+01,-3.6394513038E+01
-4.4163411608E+01,-5.0000000000E+01,-3.6312992811E+01
-4.4133890594E+01,-5.0000000000E+01,-3.6231583423E+01
-4.4104369580E+01,-5.0000000000E+01,-3.6150284828E+01
-4.4074848566E+01,-5.0000000000E+01,-3.6069096982E+01
-4.4045327552E+01,-5.0000000000E+01,-3.5988019840E+01
-4.4015806538E+01,-5.0000000000E+01,-3.5907053355E+01
-4.3986285524E+01,-5.0000000000E+01,-3.5826197483E+01
-4.3956764510E+01,-5.0000000000E+01,-3.5745452179E+01
-4.3927243496E+01,-5.0000000000E+01,-3.5664817398E+01
-4.3897722482E+01,-5.0000000000E+01,-3.5584293093E+01
-4.3868201468E+01,-5.0000000000E+01,-3.5503879219E+01
-4.3838680454E+01,-5.0000000000E+01,-3.5423575732E+01
-4.3809159440E+01,-5.0000000000E+01,-3.5343382584E+01
-4.3779638426E+01,-5.0000000000E+01,-3.5263299731E+01
-4.3750117412E+01,-5.0000000000E+01,-3.5183327127E+01
-4.3720596398E+01,-5.0000000000E+01,-3.5103464727E+01
-4.3691075384E+01,-5.0000000000E+01,-3.5023712483E+01
-4.3661554370E+01,-5.0000000000E+01,-3.4944070351E+01
-4.3632033356E+01,-5.0000000000E+01,-3.4864538285E+01
-4.3602512342E+01,-5.0000000000E+01,-3.4785116238E+01
-4.3572991328E+01,-5.0000000000E+01,-3.4705804165E+01
-4.3543470314E+01,-5.0000000000E+01,-3.4626602019E+01
-4.3513949300E+01,-5.0000000000E+01,-3.4547509754E+01
-4.3484428286E+01,-5.0000000000E+01,-3.4468527325E+01
-4.3454907272E+01,-5.0000000000E+01,-3.4389654684E+01
-4.3425386258E+01,-5.0000000000E+01,-3.4310891786E+01
-4.3395865243E+01,-5.0000000000E+01,-3.4232238584E+01
-4.3366344229E+01,-5.0000000000E+01,-3.4153695031E+01
-4.3336823215E+01,-5.0000000000E+01,-3.4075261082E+01
-4.3307302201E+01,-5.0000000000E+01,-3.3996936690E+01
-4.3277781187E+01,-5.0000000000E+01,-3.3918721807E+01
-4.3248260173E+01,-5.0000000000E+01,-3.3840616388E+01
-4.3218739159E+01,-5.0000000000E+01,-3.3762620386E+01
-4.3189218145E+01,-5.0000000000E+01,-3.3684733753E+01
-4.3159697131E+01,-5.0000000000E+01,-3.3606956444E+01
-4.3130176117E+01,-5.0000000000E+01,-3.3529288411E+01
-4.3100655103E+01,-5.0000000000E+01,-3.3451729607E+01
-4.3071134089E+01,-5.0000000000E+01,-3.3374279985E+01
-4.3041613075E+01,-5.0000000000E+01,-3.3296939499E+01
-4.3012092061E+01,-5.0000000000E+01,-3.3219708100E+01
-4.2982571047E+01,-5.0000000000E+01,-3.3142585743E+01
-4.2953050033E+01,-5.0000000000E+01,-3.3065572379E+01
-4.2923529019E+01,-5.0000000000E+01,-3.2988667962E+01
-4.2894008005E+01,-5.0000000000E+01,-3.2911872443E+01
-4.2864486991E+01,-5.0000000000E+01,-3.2835185777E+01
